PING 10.3.10.11 (10.3.10.11) 56(84) bytes of data.
64 bytes from 10.3.10.11: icmp_seq=82 ttl=57 time=0.112 ms
64 bytes from 10.3.10.11: icmp_seq=83 ttl=57 time=0.112 ms
64 bytes from 10.3.10.11: icmp_seq=84 ttl=57 time=0.101 ms
64 bytes from 10.3.10.11: icmp_seq=85 ttl=57 time=0.113 ms
64 bytes from 10.3.10.11: icmp_seq=86 ttl=57 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=87 ttl=57 time=0.103 ms
64 bytes from 10.3.10.11: icmp_seq=88 ttl=57 time=0.098 ms
64 bytes from 10.3.10.11: icmp_seq=89 ttl=57 time=0.115 ms
64 bytes from 10.3.10.11: icmp_seq=90 ttl=57 time=0.103 ms
64 bytes from 10.3.10.11: icmp_seq=91 ttl=57 time=0.098 ms
64 bytes from 10.3.10.11: icmp_seq=92 ttl=57 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=93 ttl=57 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=94 ttl=57 time=0.099 ms
64 bytes from 10.3.10.11: icmp_seq=95 ttl=57 time=0.098 ms
64 bytes from 10.3.10.11: icmp_seq=96 ttl=57 time=0.098 ms
64 bytes from 10.3.10.11: icmp_seq=97 ttl=57 time=0.096 ms
64 bytes from 10.3.10.11: icmp_seq=98 ttl=57 time=0.099 ms
64 bytes from 10.3.10.11: icmp_seq=99 ttl=57 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=100 ttl=57 time=0.112 ms

--- 10.3.10.11 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 10294ms
rtt min/avg/max/mdev = 0.077/0.126/2.263/0.214 ms
