PING 10.2.10.11 (10.2.10.11) 56(84) bytes of data.
64 bytes from 10.2.10.11: icmp_seq=1 ttl=57 time=0.735 ms
64 bytes from 10.2.10.11: icmp_seq=2 ttl=57 time=0.098 ms
64 bytes from 10.2.10.11: icmp_seq=3 ttl=57 time=0.118 ms
64 bytes from 10.2.10.11: icmp_seq=4 ttl=57 time=0.101 ms
64 bytes from 10.2.10.11: icmp_seq=5 ttl=57 time=0.102 ms
64 bytes from 10.2.10.11: icmp_seq=6 ttl=57 time=0.092 ms
64 bytes from 10.2.10.11: icmp_seq=7 ttl=57 time=0.093 ms
64 bytes from 10.2.10.11: icmp_seq=8 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=9 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=10 ttl=57 time=0.081 ms
64 bytes from 10.2.10.11: icmp_seq=11 ttl=57 time=0.103 ms
64 bytes from 10.2.10.11: icmp_seq=12 ttl=57 time=0.117 ms
64 bytes from 10.2.10.11: icmp_seq=13 ttl=57 time=0.093 ms
64 bytes from 10.2.10.11: icmp_seq=14 ttl=57 time=0.131 ms
64 bytes from 10.2.10.11: icmp_seq=15 ttl=57 time=0.133 ms
64 bytes from 10.2.10.11: icmp_seq=16 ttl=57 time=0.097 ms
64 bytes from 10.2.10.11: icmp_seq=17 ttl=57 time=0.128 ms
64 bytes from 10.2.10.11: icmp_seq=18 ttl=57 time=0.118 ms
64 bytes from 10.2.10.11: icmp_seq=19 ttl=57 time=0.104 ms
64 bytes from 10.2.10.11: icmp_seq=20 ttl=57 time=0.123 ms
64 bytes from 10.2.10.11: icmp_seq=21 ttl=57 time=0.156 ms
64 bytes from 10.2.10.11: icmp_seq=22 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=23 ttl=57 time=0.116 ms
64 bytes from 10.2.10.11: icmp_seq=24 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=25 ttl=57 time=0.089 ms
