PING 10.2.10.11 (10.2.10.11) 56(84) bytes of data.
64 bytes from 10.2.10.11: icmp_seq=26 ttl=57 time=0.103 ms
64 bytes from 10.2.10.11: icmp_seq=27 ttl=57 time=0.094 ms
64 bytes from 10.2.10.11: icmp_seq=28 ttl=57 time=0.094 ms
64 bytes from 10.2.10.11: icmp_seq=29 ttl=57 time=0.097 ms
64 bytes from 10.2.10.11: icmp_seq=30 ttl=57 time=0.102 ms
64 bytes from 10.2.10.11: icmp_seq=31 ttl=57 time=0.102 ms
64 bytes from 10.2.10.11: icmp_seq=32 ttl=57 time=0.130 ms
64 bytes from 10.2.10.11: icmp_seq=33 ttl=57 time=0.106 ms
64 bytes from 10.2.10.11: icmp_seq=34 ttl=57 time=0.133 ms
64 bytes from 10.2.10.11: icmp_seq=35 ttl=57 time=0.141 ms
64 bytes from 10.2.10.11: icmp_seq=36 ttl=57 time=0.117 ms
64 bytes from 10.2.10.11: icmp_seq=37 ttl=57 time=0.098 ms
64 bytes from 10.2.10.11: icmp_seq=38 ttl=57 time=0.095 ms
64 bytes from 10.2.10.11: icmp_seq=39 ttl=57 time=0.090 ms
64 bytes from 10.2.10.11: icmp_seq=40 ttl=57 time=0.118 ms
64 bytes from 10.2.10.11: icmp_seq=41 ttl=57 time=0.099 ms
64 bytes from 10.2.10.11: icmp_seq=42 ttl=57 time=0.098 ms
64 bytes from 10.2.10.11: icmp_seq=43 ttl=57 time=0.097 ms
64 bytes from 10.2.10.11: icmp_seq=44 ttl=57 time=0.102 ms
64 bytes from 10.2.10.11: icmp_seq=45 ttl=57 time=0.098 ms
64 bytes from 10.2.10.11: icmp_seq=46 ttl=57 time=0.096 ms
64 bytes from 10.2.10.11: icmp_seq=47 ttl=57 time=0.123 ms
64 bytes from 10.2.10.11: icmp_seq=48 ttl=57 time=0.096 ms
64 bytes from 10.2.10.11: icmp_seq=49 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=50 ttl=57 time=0.101 ms
64 bytes from 10.2.10.11: icmp_seq=51 ttl=57 time=0.101 ms
64 bytes from 10.2.10.11: icmp_seq=52 ttl=57 time=0.097 ms
64 bytes from 10.2.10.11: icmp_seq=53 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=54 ttl=57 time=0.101 ms
64 bytes from 10.2.10.11: icmp_seq=55 ttl=57 time=0.095 ms
64 bytes from 10.2.10.11: icmp_seq=56 ttl=57 time=0.099 ms
64 bytes from 10.2.10.11: icmp_seq=57 ttl=57 time=0.126 ms
64 bytes from 10.2.10.11: icmp_seq=58 ttl=57 time=0.089 ms
64 bytes from 10.2.10.11: icmp_seq=59 ttl=57 time=0.103 ms
64 bytes from 10.2.10.11: icmp_seq=60 ttl=57 time=0.119 ms
64 bytes from 10.2.10.11: icmp_seq=61 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=62 ttl=57 time=0.116 ms
64 bytes from 10.2.10.11: icmp_seq=63 ttl=57 time=0.094 ms
64 bytes from 10.2.10.11: icmp_seq=64 ttl=57 time=0.109 ms
64 bytes from 10.2.10.11: icmp_seq=65 ttl=57 time=0.099 ms
64 bytes from 10.2.10.11: icmp_seq=66 ttl=57 time=0.101 ms
64 bytes from 10.2.10.11: icmp_seq=67 ttl=57 time=0.112 ms
64 bytes from 10.2.10.11: icmp_seq=68 ttl=57 time=0.092 ms
64 bytes from 10.2.10.11: icmp_seq=69 ttl=57 time=0.101 ms
64 bytes from 10.2.10.11: icmp_seq=70 ttl=57 time=0.099 ms
64 bytes from 10.2.10.11: icmp_seq=71 ttl=57 time=0.098 ms
64 bytes from 10.2.10.11: icmp_seq=72 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=73 ttl=57 time=0.095 ms
64 bytes from 10.2.10.11: icmp_seq=74 ttl=57 time=0.125 ms
64 bytes from 10.2.10.11: icmp_seq=75 ttl=57 time=0.102 ms
64 bytes from 10.2.10.11: icmp_seq=76 ttl=57 time=0.104 ms
64 bytes from 10.2.10.11: icmp_seq=77 ttl=57 time=0.097 ms
64 bytes from 10.2.10.11: icmp_seq=78 ttl=57 time=0.109 ms
64 bytes from 10.2.10.11: icmp_seq=79 ttl=57 time=0.099 ms
64 bytes from 10.2.10.11: icmp_seq=80 ttl=57 time=0.104 ms
64 bytes from 10.2.10.11: icmp_seq=81 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=82 ttl=57 time=0.108 ms
64 bytes from 10.2.10.11: icmp_seq=83 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=84 ttl=57 time=0.101 ms
64 bytes from 10.2.10.11: icmp_seq=85 ttl=57 time=0.101 ms
64 bytes from 10.2.10.11: icmp_seq=86 ttl=57 time=0.097 ms
64 bytes from 10.2.10.11: icmp_seq=87 ttl=57 time=0.095 ms
64 bytes from 10.2.10.11: icmp_seq=88 ttl=57 time=0.094 ms
64 bytes from 10.2.10.11: icmp_seq=89 ttl=57 time=0.099 ms
64 bytes from 10.2.10.11: icmp_seq=90 ttl=57 time=0.096 ms
64 bytes from 10.2.10.11: icmp_seq=91 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=92 ttl=57 time=0.113 ms
64 bytes from 10.2.10.11: icmp_seq=93 ttl=57 time=0.100 ms
64 bytes from 10.2.10.11: icmp_seq=94 ttl=57 time=0.099 ms
64 bytes from 10.2.10.11: icmp_seq=95 ttl=57 time=0.107 ms
64 bytes from 10.2.10.11: icmp_seq=96 ttl=57 time=0.095 ms
64 bytes from 10.2.10.11: icmp_seq=97 ttl=57 time=0.091 ms
64 bytes from 10.2.10.11: icmp_seq=98 ttl=57 time=0.099 ms
64 bytes from 10.2.10.11: icmp_seq=99 ttl=57 time=0.121 ms
64 bytes from 10.2.10.11: icmp_seq=100 ttl=57 time=0.101 ms

--- 10.2.10.11 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 10297ms
rtt min/avg/max/mdev = 0.081/0.110/0.735/0.063 ms
