PING 10.3.10.11 (10.3.10.11) 56(84) bytes of data.
64 bytes from 10.3.10.11: icmp_seq=61 ttl=56 time=0.147 ms
64 bytes from 10.3.10.11: icmp_seq=62 ttl=56 time=0.099 ms
64 bytes from 10.3.10.11: icmp_seq=63 ttl=56 time=0.102 ms
64 bytes from 10.3.10.11: icmp_seq=64 ttl=56 time=0.111 ms
64 bytes from 10.3.10.11: icmp_seq=65 ttl=56 time=0.113 ms
64 bytes from 10.3.10.11: icmp_seq=66 ttl=56 time=0.107 ms
64 bytes from 10.3.10.11: icmp_seq=67 ttl=56 time=0.097 ms
64 bytes from 10.3.10.11: icmp_seq=68 ttl=56 time=0.085 ms
64 bytes from 10.3.10.11: icmp_seq=69 ttl=56 time=0.083 ms
64 bytes from 10.3.10.11: icmp_seq=70 ttl=56 time=0.102 ms
64 bytes from 10.3.10.11: icmp_seq=71 ttl=56 time=0.100 ms
64 bytes from 10.3.10.11: icmp_seq=72 ttl=56 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=73 ttl=56 time=0.106 ms
64 bytes from 10.3.10.11: icmp_seq=74 ttl=56 time=0.106 ms
64 bytes from 10.3.10.11: icmp_seq=75 ttl=56 time=0.101 ms
64 bytes from 10.3.10.11: icmp_seq=76 ttl=56 time=0.108 ms
64 bytes from 10.3.10.11: icmp_seq=77 ttl=56 time=0.125 ms
64 bytes from 10.3.10.11: icmp_seq=78 ttl=56 time=0.076 ms
64 bytes from 10.3.10.11: icmp_seq=79 ttl=56 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=80 ttl=56 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=81 ttl=56 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=82 ttl=56 time=0.111 ms
64 bytes from 10.3.10.11: icmp_seq=83 ttl=56 time=0.084 ms
64 bytes from 10.3.10.11: icmp_seq=84 ttl=56 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=85 ttl=56 time=0.099 ms
64 bytes from 10.3.10.11: icmp_seq=86 ttl=56 time=0.100 ms
64 bytes from 10.3.10.11: icmp_seq=87 ttl=56 time=0.118 ms
64 bytes from 10.3.10.11: icmp_seq=88 ttl=56 time=0.097 ms
64 bytes from 10.3.10.11: icmp_seq=89 ttl=56 time=0.103 ms
64 bytes from 10.3.10.11: icmp_seq=90 ttl=56 time=0.109 ms
64 bytes from 10.3.10.11: icmp_seq=91 ttl=56 time=0.105 ms
64 bytes from 10.3.10.11: icmp_seq=92 ttl=56 time=0.103 ms
64 bytes from 10.3.10.11: icmp_seq=93 ttl=56 time=0.097 ms
64 bytes from 10.3.10.11: icmp_seq=94 ttl=56 time=0.108 ms
64 bytes from 10.3.10.11: icmp_seq=95 ttl=56 time=0.109 ms
64 bytes from 10.3.10.11: icmp_seq=96 ttl=56 time=0.105 ms
64 bytes from 10.3.10.11: icmp_seq=97 ttl=56 time=0.104 ms
64 bytes from 10.3.10.11: icmp_seq=98 ttl=56 time=0.100 ms
64 bytes from 10.3.10.11: icmp_seq=99 ttl=56 time=0.101 ms
64 bytes from 10.3.10.11: icmp_seq=100 ttl=56 time=0.109 ms

--- 10.3.10.11 ping statistics ---
100 packets transmitted, 100 received, 0% packet loss, time 10297ms
rtt min/avg/max/mdev = 0.076/0.105/0.147/0.010 ms
